id,review,restaurant_id
845,De-engineered heuristic data-warehouse,45
846,Synergized foreground local area network,9
847,Multi-channelled contextually-based array,42
848,Cross-platform encompassing architecture,99
849,Self-enabling composite support,44
850,Implemented background Graphical User Interface,74
851,Customer-focused coherent info-mediaries,99
852,Versatile maximized architecture,22
853,Expanded foreground archive,97
854,Self-enabling directional flexibility,59
855,Ameliorated 4th generation application,88
856,Robust eco-centric collaboration,10
857,Object-based next generation capacity,34
858,Diverse 4th generation focus group,71
859,Synergistic value-added product,23
860,Reverse-engineered responsive concept,43
861,Up-sized 5th generation budgetary management,59
862,Fully-configurable disintermediate synergy,56
863,Digitized composite forecast,90
864,Configurable user-facing customer loyalty,6
865,Extended non-volatile contingency,76
866,Versatile neutral matrix,17
867,Team-oriented value-added leverage,22
868,Pre-emptive well-modulated product,32
869,Enterprise-wide intangible conglomeration,97
870,Vision-oriented transitional architecture,2
871,Monitored fault-tolerant internet solution,25
872,Synergistic tertiary knowledge base,47
873,Inverse dedicated superstructure,79
874,Synergized contextually-based framework,24
875,Cross-platform 4th generation budgetary management,39
876,Universal web-enabled focus group,19
877,Seamless encompassing knowledge base,40
878,Down-sized bifurcated open architecture,91
879,Vision-oriented background leverage,70
880,Implemented interactive archive,58
881,Implemented motivating Graphic Interface,13
882,Object-based 6th generation artificial intelligence,88
883,Organic incremental functionalities,32
884,Universal cohesive workforce,48
885,Stand-alone multimedia product,14
886,Team-oriented global middleware,28
887,Polarised non-volatile instruction set,50
888,Streamlined reciprocal local area network,23
889,Intuitive background application,40
890,Front-line discrete leverage,17
891,Extended optimal groupware,59
892,Integrated responsive matrices,17
893,Expanded client-server help-desk,12
894,Profit-focused real-time core,11
895,Grass-roots grid-enabled array,45
896,Cloned clear-thinking alliance,12
897,Universal leading edge matrix,25
898,Profound bi-directional attitude,2
899,Intuitive maximized implementation,41
900,Configurable web-enabled concept,23
901,Vision-oriented incremental firmware,38
902,Secured homogeneous capacity,23
903,Profit-focused didactic knowledge user,91
904,Exclusive needs-based info-mediaries,9
905,Customizable systematic time-frame,2
906,Switchable heuristic benchmark,18
907,Polarised mobile architecture,38
908,Ergonomic dynamic frame,99
909,Diverse bandwidth-monitored neural-net,2
910,Horizontal intangible workforce,23
911,Multi-lateral heuristic architecture,84
912,Operative global open architecture,8
913,Centralized intangible benchmark,62
914,Automated optimal product,9
915,Innovative background moratorium,37
916,Expanded attitude-oriented database,52
917,Business-focused impactful encoding,58
918,User-centric grid-enabled solution,2
919,Re-engineered tertiary conglomeration,73
920,Profit-focused tertiary success,65
921,Visionary web-enabled firmware,5
922,Proactive contextually-based encryption,48
923,Cross-platform interactive frame,62
924,Function-based coherent project,15
925,Programmable user-facing neural-net,52
926,Organized regional initiative,23
927,Right-sized multi-tasking data-warehouse,96
928,Cross-platform asynchronous access,54
929,Vision-oriented even-keeled moderator,83
930,Integrated didactic data-warehouse,50
931,Ameliorated composite standardization,58
932,Implemented needs-based budgetary management,16
933,Networked demand-driven encoding,41
934,Phased fault-tolerant moratorium,99
935,Reactive next generation encryption,43
936,Open-source needs-based secured line,14
937,Re-engineered asymmetric frame,65
938,User-centric directional infrastructure,71
939,Networked holistic ability,78
940,Proactive demand-driven data-warehouse,61
941,Self-enabling client-driven internet solution,93
942,Advanced leading edge database,57
943,Reactive object-oriented support,65
944,Grass-roots object-oriented project,57
945,Realigned optimal parallelism,19
946,Advanced analyzing extranet,24
947,Re-engineered impactful process improvement,69
948,Decentralized optimizing circuit,51
949,Proactive impactful open architecture,64
950,Virtual composite interface,70
951,Multi-lateral system-worthy solution,15
952,Seamless uniform utilisation,70
953,Seamless dynamic open architecture,93
954,Visionary object-oriented orchestration,69
955,Open-source discrete analyzer,75
956,Vision-oriented upward-trending complexity,62
957,Switchable national complexity,52
958,Devolved systemic firmware,60
959,Multi-lateral motivating internet solution,88
960,Monitored client-driven core,16
961,Sharable next generation software,81
962,Persevering clear-thinking analyzer,53
963,Compatible methodical emulation,59
964,Monitored motivating encoding,43
965,Distributed fresh-thinking standardization,94
966,Synchronised encompassing matrix,83
967,Enterprise-wide client-server strategy,90
968,Exclusive even-keeled initiative,94
969,Visionary value-added conglomeration,30
970,Cloned asymmetric support,93
971,Virtual asymmetric service-desk,55
972,Pre-emptive full-range encryption,68
973,Exclusive heuristic approach,98
974,Organic actuating solution,66
975,Configurable even-keeled data-warehouse,100
976,Configurable hybrid function,27
977,Switchable 6th generation application,16
978,Secured uniform capability,6
979,Open-source needs-based database,75
980,Expanded hybrid methodology,69
981,Managed reciprocal database,34
982,User-friendly real-time projection,16
983,Digitized 6th generation parallelism,36
984,Front-line dynamic workforce,61
985,Cloned zero administration function,17
986,Organized zero administration project,72
987,Reverse-engineered foreground access,5
988,Enterprise-wide national archive,73
989,Monitored cohesive portal,62
990,Realigned local initiative,45
991,User-friendly system-worthy moderator,52
992,Ergonomic interactive application,76
993,Reduced eco-centric access,87
994,Innovative contextually-based Graphical User Interface,54
995,Inverse composite Graphic Interface,64
996,Intuitive eco-centric model,29
997,Down-sized attitude-oriented leverage,64
998,Multi-lateral global collaboration,62
999,User-friendly empowering archive,96
1000,Robust hybrid middleware,30
